method,channel,mean,std,count,q025,q975,cv,ci_width,category
Position-Based (40%/40%),Display,0.1101330730302875,0.017648645431552,100,0.0818394319118678,0.1475284281069405,0.1602483699578461,0.0656889961950727,Rule-based
Position-Based (40%/40%),Email,0.1597378579620904,0.0193720653103556,100,0.1204160612853428,0.1985548898001128,0.1212741021915614,0.0781388285147699,Rule-based
Position-Based (40%/40%),Organic Search,0.224533510070877,0.0204405745404763,100,0.1868040339363413,0.2635444560739153,0.0910357413199661,0.076740422137574,Rule-based
Position-Based (40%/40%),Paid Search,0.1765782494466264,0.0188869482159077,100,0.1458769941891309,0.2217430924214522,0.1069607852331589,0.0758660982323213,Rule-based
Position-Based (40%/40%),Referral,0.0531126424494996,0.0110786503135266,100,0.034121640146815,0.0748515811059645,0.2085878201985599,0.0407299409591494,Rule-based
Position-Based (40%/40%),Social,0.1131980007618339,0.0150555776539913,100,0.083806633261046,0.1447255338449743,0.1330021515633297,0.0609189005839282,Rule-based
Shapley (model-based),Direct,0.1174377589037287,0.0908642877357029,100,0.0,0.3255012441873759,0.7737229370171328,0.3255012441873759,Game-theoretic
Shapley (model-based),Display,0.0442364500032957,0.0638531864737642,100,0.0,0.2231732534330317,1.443451869872174,0.2231732534330317,Game-theoretic
Shapley (model-based),Email,0.2520758853492622,0.1004650186177897,100,0.0411108341490521,0.4575133466239496,0.3985506922988332,0.4164025124748974,Game-theoretic
Shapley (model-based),Organic Search,0.1626662684820261,0.117330724159788,100,0.0,0.4143529189639299,0.7212972010405007,0.4143529189639299,Game-theoretic
Shapley (model-based),Paid Search,0.3174303728379907,0.1186613362791239,100,0.121285857003966,0.595359856763463,0.3738184699158766,0.474073999759497,Game-theoretic
Shapley (model-based),Referral,0.0947599242084162,0.0774249961111456,100,0.0,0.2859324892689689,0.8170647745649948,0.2859324892689689,Game-theoretic
Shapley (model-based),Social,0.0113933402152801,0.0277316065070127,100,0.0,0.1007984450416045,2.4340189955725724,0.1007984450416045,Game-theoretic
Time Decay (7.0d),Direct,0.1700409276822136,0.0174542617503196,100,0.1386925373588608,0.2048655591443811,0.1026474154677609,0.0661730217855202,Rule-based
Time Decay (7.0d),Display,0.0907466037489732,0.0142822275662302,100,0.0658428089506514,0.1212046155618362,0.1573858081316002,0.0553618066111848,Rule-based
Time Decay (7.0d),Email,0.1821988271940386,0.0171706374682278,100,0.1494642239760557,0.2148768601843732,0.0942412074362116,0.0654126362083175,Rule-based
Time Decay (7.0d),Organic Search,0.1611691090763394,0.0135477519802631,100,0.1344261270950076,0.1906535852645413,0.084059234787022,0.0562274581695337,Rule-based
Time Decay (7.0d),Paid Search,0.2045441671274237,0.0182248829307775,100,0.1719078807889798,0.2449768158422199,0.0890999884608006,0.0730689350532401,Rule-based
Time Decay (7.0d),Referral,0.0933560078872502,0.0135514817643507,100,0.0662505680208174,0.1227781359461402,0.1451591822640644,0.0565275679253228,Rule-based
