method,mae,rmse,kendall_tau,dgp,dgp_n_users,dgp_conversion_rate
Survival/Poisson (AICPE),0.16604535436751452,0.1868920374645682,0.4114755998989118,markov,20000,0.0219
Survival/Poisson (Shapley),0.14684687459328133,0.1696281620273236,0.19518001458970663,markov,20000,0.0219
IPW,0.1738365662283123,0.19887767281510602,0.6197797868009122,markov,20000,0.0219
Doubly Robust,0.03741505560897546,0.041579124934561076,0.0,markov,20000,0.0219
DML,0.17735651463799568,0.20167568496900498,0.6197797868009122,markov,20000,0.0219
Last Click,0.038094872191799335,0.05764474692606072,0.7142857142857143,cox,10000,0.0236
First Click,0.15416781976056532,0.18073030456262168,-0.29277002188455997,cox,10000,0.0236
Linear,0.058337606821380686,0.07690303302503634,0.14285714285714288,cox,10000,0.0236
Time Decay (7.0d),0.046720645722206924,0.06186364761850426,0.6190476190476191,cox,10000,0.0236
Position-Based (40%/40%),0.07642564106237519,0.0935211168146393,0.14285714285714288,cox,10000,0.0236
Markov (order=1),0.07370052588094363,0.09157870058674218,0.23809523809523814,cox,10000,0.0236
Markov (order=2),0.06653210935119956,0.08419482129731107,0.23809523809523814,cox,10000,0.0236
Shapley (model-based),0.05820787599353797,0.06727651852149212,0.7807200583588265,cox,10000,0.0236
Incremental Shapley,0.037598618218537945,0.04456383222605427,0.8095238095238096,cox,10000,0.0236
Survival/Poisson (BackElim),0.013522266814521495,0.01729927601358833,1.0,cox,10000,0.0236
Survival/Poisson (AICPE),0.03683890142806997,0.0410332887206453,1.0,cox,10000,0.0236
Survival/Poisson (Shapley),0.03445348339876987,0.041086000296318675,1.0,cox,10000,0.0236
IPW,0.042524792950303855,0.05534375839422052,0.7142857142857143,cox,10000,0.0236
Doubly Robust,0.07578679331923853,0.08939627315126689,0.5143444998736397,cox,10000,0.0236
DML,0.03274317363122529,0.03857581707242189,0.9047619047619049,cox,10000,0.0236
Last Click,0.03639730792423094,0.049440204026168215,0.7142857142857143,hawkes,10000,0.0278
First Click,0.14437138331836336,0.1758112145490951,-0.29277002188455997,hawkes,10000,0.0278
Linear,0.054591533445924746,0.06958496261192977,0.14285714285714288,hawkes,10000,0.0278
Time Decay (7.0d),0.043837438537580195,0.05555922671970176,0.5238095238095238,hawkes,10000,0.0278
Position-Based (40%/40%),0.06906834560073578,0.08347538878849627,0.23809523809523814,hawkes,10000,0.0278
Markov (order=1),0.07002798833937009,0.08444502622411441,0.23809523809523814,hawkes,10000,0.0278
Markov (order=2),0.06586290015717357,0.08021963267398359,0.23809523809523814,hawkes,10000,0.0278
Shapley (model-based),0.07561652345861737,0.09003621109992573,0.4114755998989118,hawkes,10000,0.0278
Incremental Shapley,0.06534201250331606,0.08673375444110937,0.5143444998736397,hawkes,10000,0.0278
Survival/Poisson (BackElim),0.01616009938116946,0.019357880757635195,0.9047619047619049,hawkes,10000,0.0278
Survival/Poisson (AICPE),0.03498116102557181,0.04153040954073492,0.6831300510639733,hawkes,10000,0.0278
Survival/Poisson (Shapley),0.024727017157047476,0.0298127132774015,0.9047619047619049,hawkes,10000,0.0278
IPW,0.08249613971027094,0.11043768909265059,0.4285714285714286,hawkes,10000,0.0278
Doubly Robust,0.1047890104077641,0.13823987538669014,0.50709255283711,hawkes,10000,0.0278
DML,0.06105451290873271,0.06857442999359206,0.4285714285714286,hawkes,10000,0.0278
Incremental Shapley (LSTM),0.1333947766028749,,0.2817180849095055,logistic,20000,0.02485
Incremental Shapley (LSTM),0.0276898582529009,,0.7142857142857143,markov,20000,0.0219
Incremental Shapley (LSTM),0.0790689481884775,,0.4285714285714286,cox,10000,0.0236
Incremental Shapley (LSTM),0.0753673096830578,,0.4285714285714286,hawkes,10000,0.0278
